id,en,el,fr,de,pl,pt_BR,ru,zh_TW
Layers,Layers,Στρώσεις,Calques,Ebenen,Warstwy,Camadas,Слои,圖層
LAYERNEW_HT,Create a new layer,Δημιουργία νέας στρώσης,Créer un calque,Erstelle eine neue Ebene,Stwórz nową warstwę,Criar nova camada,Создать новый слой,新增圖層
LAYERREMOVE_HT,Remove current layer,Διαγραφή της τρέχουσας στρώσης,Supprimer le calque,Entferne aktuelle Ebene,Usuń obecną warstwę,Remover camada atual,Удалить текущий слой,刪除此圖層
LAYERUP_HT,Move up the current layer,Μετακίνηση της τρέχουσας στρώσης προς τα πάνω,Déplacer le calque vers le haut,Bewege aktuelle Ebene nach oben,Przesuń obecną warstwę do góry,Mover para a cima a camada atual,Поднять текущий слой выше,上移此圖層
LAYERDOWN_HT,Move down the current layer,Μετακίνηση της τρέχουσας στρώσης προς τα κάτω,Déplacer le calque vers le cas,Bewege aktuelle Ebene nach unten,Przesuń obecną warstwę w dół,Mover para baixo a camada atual,Опустить текущий слой ниже,下移此圖層
LAYERCLONE_HT,Clone current layer,Κλωνοποίηση της τρέχουσας στρώσης,Cloner le calque,Kopiere aktuelle Ebene,Duplikuj obecną warstwę,Clonar camada atual,Клонировать текущий слой,複製此圖層
LAYERMERGE_HT,Merge current layer with the one below,Συγχώνευση της τρέχουσας στρώσης με την από κάτω,Fusionner le calque vers le bas,Führe Ebene mit der darunter zusammen,Połącz obecną warstwę z warstwą powyżej,Combinar camada atual com a de baixo,Объединить слой ниже с текущим ,合併此圖層與下面的圖層
LAYERVISIBILITY_HT,Toggle layer's visibility,Εναλλαγή της ορατότητας της στρώσης,Afficher/Masquer le calque,Ändere die Sichtbarkeit der Ebene,Ukrywanie warstwy,Mudar visibilidade da camada,Переключить видимость слоев,開關圖層可視
SPLITSCREEN_HT,Split screen\n\nShow second canvas,Διπλή οθόνη\n\nΕμφάνιση δεύτερου καμβά,Écran partagé\n\nAfficher un second canevas,Geteilter Bildschirm\n\nZeige zweite Leinwand,Podzielenie ekranu\n\nWyświetla drugie płótno,Tela dividida\n\nMostrar tela secundária,Разделить экран\n\nОтобразить второй холст,分裂畫面\n\n顯示兩張畫布
SPLITSCREEN_HIDE_HT,Split screen\n\nHide second canvas,Διπλή οθόνη\n\nΑπόκρυψη δεύτερου καμβάf,Écran partagé\n\nCacher le second canevas,Geteilter Bildschirm\n\nVerstecke zweite Leinwand,Podzielenie ekranu\n\nUkrywa drugie płótno,Tela dividida\n\nEsconder tela secundária,Разделить экран\n\nСкрыть второй холст,分裂畫面\n\n顯示一張畫布
Undo: Draw,Undo: Draw,Αναίρεση: Ζωγραφική,Annuler : Dessin,Rückgängig: Zeichen,Cofnij: Rysowanie,Desfazer: Desenhar,Отменить: Рисование,取消 上一筆
Redo: Draw,Redo: Draw,Ακύρωση αναίρεσης: Ζωγραφική,Refaire : Dessin,Wiederherstellen: Zeichnen,Przywróć: Rysowanie,Refazer: Desenhar,Повторить: Рисование,復原 上一筆
Undo: Rectangle Select,Undo: Rectangle Select,Αναίρεση: Ορθογώνια επιλογή,Annuler : Sélection par rectangle,Rückgängig: Rechteck Auswahl,Cofnij: Zaznaczenie prostokątne,Desfazer: Seleção Retangular,Отменить: Прямоугольное выделение,取消 長方形選取
Redo: Rectangle Select,Redo: Rectangle Select,Ακύρωση αναίρεσης: Ορθογώνια επιλογή,Refaire : Sélection par rectangle,Wiederherstellen: Rechteck Auswahl,Przywróć: Zaznaczenie prostokątne,Refazer: Seleção Retangular,Повторить: Прямоугольное выделение,復原 長方形選取
Undo: Scale,Undo: Scale,Αναίρεση: Κλιμάκωση,Annuler : Redimensionner l'image,Rückgängig: Skalieren,Cofnij: Skalowanie,Desfazer: Redimensionar,Отменить: Масштабирование,取消 尺寸調整
Redo: Scale,Redo: Scale,Ακύρωση αναίρεσης: Κλιμάκωση,Refaire : Redimensionner l'image,Wiederherstellen: Skalieren,Przywróć: Skalowanie,Refazer: Redimensionar,Повторить: Масштабирование,復原 尺寸調整
Undo: Add Layer,Undo: Add Layer,Αναίρεση: Προσθήκη στρώσης,Annuler : Ajouter un calque,Rückgängig: Ebene hinzufügen,Cofnij: Dodawanie warstwy,Desfazer: Adicionar Camada,Отменить: Добавление слоя,取消 新增圖層
Redo: Add Layer,Redo: Add Layer,Ακύρωση αναίρεσης: Προσθήκη στρώσης,Refaire : Ajouter un calque,Wiederherstellen: Ebene hinzufügen,Przywróć: Dodawanie warstwy,Refazer: Adicionar Camada,Повторить: Добавление слоя,復原 新增圖層
Undo: Remove Layer,Undo: Remove Layer,Αναίρεση: Διαγραφή στρώσης,Annuler : Supprimer le calque,Rückgängigg: Entferne Ebene,Cofnij: Usuwanie warstwy,Desfazer: Remover Camada,Отменить: Удаление слоя,取消 刪除圖層
Redo: Remove Layer,Redo: Remove Layer,Ακύρωση αναίρεσης: Διαγραφή στρώσης,Refaire : Supprimer le calque,Wiederherstellen: Entferne Ebene,Przywróć: Usuwanie warstwy,Refazer: Remover Camada,Повторить: Удаление слоя,復原 刪除圖層
Undo: Merge Layer,Undo: Merge Layer,Αναίρεση: Συγχώνευση στρώσης,Annuler : Fusionner le calque,Rückgängig: Füge Ebene zusammen,Cofnij: Scalanie warstw,Desfazer: Combinar Camada,Отменить: Объединение слоев,取消 合併圖層
Redo: Merge Layer,Redo: Merge Layer,Ακύρωση αναίρεσης: Συγχώνευση στρώσης,Refaire : Fusionner le calque,Wiederherstellen: Füge Ebene zusammen,Przywróć: Scalanie warstw,Refazer: Combinar Camada,Повторить: Объединение слоев,復原 合併圖層
Undo: Change Layer Order,Undo: Change Layer Order,Αναίρεση: Αλλαγή σειράς στρώσης,Annuler : Modifier l'ordre des calques,Rückgängig: Ändere Ebenenreihenfolge,Cofnij: Zmiana kolejności warstw,Desfazer: Mudar Ordem das Camadas,Отменить: Смена порядка слоев,取消 改變圖層順序
Redo: Change Layer Order,Redo: Change Layer Order,Ακύρωση αναίρεσης: Αλλαγή σειράς στρώσης,Refaire : Modifier l'ordre des calques,Wiederherstellen: Ändere Ebenenreihenfolge,Przywróć: Zmiana kolejności warstw,Refazer: Mudar Ordem das Camadas,Повторить: Смена порядка слоев,復原 改變圖層順序
Undo: Add Frame,Undo: Add Frame,Αναίρεση: Προσθήκη καρέ,Annuler : Ajouter une trame,Rückgängig: Füge Frame hinzu,Cofnij: Dodawanie klatki,Desfazer: Adicionar Quadro,Отменить: Добавление кадра,取消 新增畫面
Redo: Add Frame,Redo: Add Frame,Ακύρωση αναίρεσης: Προσθήκη καρέ,Refaire : Ajouter une trame,Wiederherstellen: Füge Frame hinzu,Przywróć: Dodawanie klatki,Refazer: Adicionar Quadro,Повторить: Добавление кадра,復原 新增畫面
Undo: Remove Frame,Undo: Remove Frame,Αναίρεση: Διαγραφή καρέ,Annuler : Supprimer une trame,Rückgängig: Entferne Frame,Cofnij: Usunięcie klatki,Desfazer: Remover Quadro,Отменить: Удаление кадра,取消 刪除畫面
Redo: Remove Frame,Redo: Remove Frame,Ακύρωση αναίρεσης: Διαγραφή καρέ,Refaire : Supprimer une trame,Wiederherstellen: Entferne Frame,Przywróć: Usunięcie klatki,Refazer: Remover Quadro,Повторить: Удаление кадра,復原 刪除畫面
Undo: Change Frame Order,Undo: Change Frame Order,Αναίρεση: Αλλαγή σειράς καρέ,Annuler : Modifier l'ordre des trames,Rückgängig: Ändere Framereihenfolge,Cofnij: Zmiana kolejności klatek,Desfazer: Mudar Ordem dos Quadros,Отменить: Смена последовательности кадров,取消 改變畫面順序
Redo: Change Frame Order,Redo: Change Frame Order,Ακύρωση αναίρεσης: Αλλαγή σειράς καρέ,Refaire : Modifier l'ordre des trames,Wiederherstellen: Ändere Framereihenfolge,Przywróć: Zmiana kolejności klatek,Refazer: Mudar Ordem dos Quadros,Повторить: Смена последовательности кадров,復原 改變畫面順序
Undo: Delete Custom Brush,Undo: Delete Custom Brush,Αναίρεση: Διαγραφή προσαρμοσμένου πινέλου,Annuler : Supprimer la brosse personnalisée,Rückgängig: Entferne benutzerdefinierten Pinsel,Cofnij: Usuwanie niestandardowego pędzla,Desfazer: Deletar Pincel Customizado,Отменить: Удаление текущей кисти,取消 刪除自訂畫筆
Redo: Delete Custom Brush,Redo: Delete Custom Brush,Ακύρωση αναίρεσης: Διαγραφή προσαρμοσμένου πινέλου,Refaire : Supprimer la brosse personnalisée,Wiederherstellen: Entferne benutzerdefinierten Pinsel,Przywróć: Usuwanie niestandardowego pędzla,Refazer: Deletar Pincel Customizado,Повторить: Удаление текущей кисти,復原 刪除自訂畫筆
Move Guide,Move Guide,Μετακίνηση βοηθού,Déplacer le guide,Bewegungsanleitung,Przesuń prowadnice,Mover Guia,Сдвинуть направляющие,移動輔助線
File saved,File saved,Το αρχείο αποθηκεύτηκε,Fichier enregistré,Datei gespeichert,Plik został zapisany,Arquivo salvo,Файл сохранен,檔案已儲存
File exported,File exported,Έγινε εξαγωγή αρχείου,Fichier exporté,Datei exportiert,Plik został wyeksportowany,Arquivo exportado,Файл экспортирован,檔案已輸出
